comune,anno,mese,presenze_mese,presenze_stimate,superficie_kmq,densita_turistica,n_mesi_con_dati,copertura_sufficiente
Abbasanta,2025,1,335.0,False,39.816,8.41,12.0,True
Abbasanta,2025,2,303.0,False,39.816,7.61,12.0,True
Abbasanta,2025,3,386.0,False,39.816,9.69,12.0,True
Abbasanta,2025,4,340.0,False,39.816,8.54,12.0,True
Abbasanta,2025,5,443.0,False,39.816,11.13,12.0,True
Abbasanta,2025,6,394.0,False,39.816,9.9,12.0,True
Abbasanta,2025,7,241.0,False,39.816,6.05,12.0,True
Abbasanta,2025,8,745.0,False,39.816,18.71,12.0,True
Abbasanta,2025,9,452.0,False,39.816,11.35,12.0,True
Abbasanta,2025,10,472.0,False,39.816,11.85,12.0,True
Abbasanta,2025,11,427.0,False,39.816,10.72,12.0,True
Abbasanta,2025,12,218.0,False,39.816,5.48,12.0,True
Aggius,2025,1,6.0,False,86.445,0.07,9.0,False
Aggius,2025,3,13.0,False,86.445,0.15,9.0,False
Aggius,2025,4,81.0,False,86.445,0.94,9.0,False
Aggius,2025,5,103.0,False,86.445,1.19,9.0,False
Aggius,2025,6,318.0,False,86.445,3.68,9.0,False
Aggius,2025,7,525.0,False,86.445,6.07,9.0,False
Aggius,2025,8,617.0,False,86.445,7.14,9.0,False
Aggius,2025,9,399.0,False,86.445,4.62,9.0,False
Aggius,2025,10,163.0,False,86.445,1.89,9.0,False
Aglientu,2025,1,4.09,True,148.358,0.03,12.0,True
Aglientu,2025,2,3.82,True,148.358,0.03,12.0,True
Aglientu,2025,3,78.96,True,148.358,0.53,12.0,True
Aglientu,2025,4,3477.52,True,148.358,23.44,12.0,True
Aglientu,2025,5,13327.54,True,148.358,89.83,12.0,True
Aglientu,2025,6,52714.39,True,148.358,355.32,12.0,True
Aglientu,2025,7,100377.13,True,148.358,676.59,12.0,True
Aglientu,2025,8,126975.59,True,148.358,855.87,12.0,True
Aglientu,2025,9,56803.47,True,148.358,382.88,12.0,True
Aglientu,2025,10,12390.64,True,148.358,83.52,12.0,True
Aglientu,2025,11,570.33,True,148.358,3.84,12.0,True
Aglientu,2025,12,348.52,True,148.358,2.35,12.0,True
Aidomaggiore,2025,1,2.05,True,41.236,0.05,12.0,True
Aidomaggiore,2025,2,21.91,True,41.236,0.53,12.0,True
Aidomaggiore,2025,3,2.48,True,41.236,0.06,12.0,True
Aidomaggiore,2025,4,32.76,True,41.236,0.79,12.0,True
Aidomaggiore,2025,5,5.77,True,41.236,0.14,12.0,True
Aidomaggiore,2025,6,9.19,True,41.236,0.22,12.0,True
Aidomaggiore,2025,7,42.06,True,41.236,1.02,12.0,True
Aidomaggiore,2025,8,132.3,True,41.236,3.21,12.0,True
Aidomaggiore,2025,9,46.73,True,41.236,1.13,12.0,True
Aidomaggiore,2025,10,54.82,True,41.236,1.33,12.0,True
Aidomaggiore,2025,11,2.17,True,41.236,0.05,12.0,True
Aidomaggiore,2025,12,12.76,True,41.236,0.31,12.0,True
Albagiara,2025,1,0.33,True,9.17,0.04,12.0,True
Albagiara,2025,2,0.31,True,9.17,0.03,12.0,True
Albagiara,2025,3,0.4,True,9.17,0.04,12.0,True
Albagiara,2025,4,0.77,True,9.17,0.08,12.0,True
Albagiara,2025,5,0.93,True,9.17,0.1,12.0,True
Albagiara,2025,6,1.49,True,9.17,0.16,12.0,True
Albagiara,2025,7,1.95,True,9.17,0.21,12.0,True
Albagiara,2025,8,17.99,True,9.17,1.96,12.0,True
Albagiara,2025,9,42.25,True,9.17,4.61,12.0,True
Albagiara,2025,10,26.78,True,9.17,2.92,12.0,True
Albagiara,2025,11,0.35,True,9.17,0.04,12.0,True
Albagiara,2025,12,11.45,True,9.17,1.25,12.0,True
Ales,2025,1,26.0,False,22.204,1.17,12.0,True
Ales,2025,2,34.0,False,22.204,1.53,12.0,True
Ales,2025,3,72.0,False,22.204,3.24,12.0,True
Ales,2025,4,171.0,False,22.204,7.7,12.0,True
Ales,2025,5,106.0,False,22.204,4.77,12.0,True
Ales,2025,6,110.0,False,22.204,4.95,12.0,True
Ales,2025,7,128.0,False,22.204,5.76,12.0,True
